Cleaned_Tokens,Sentiment
"['never', 'appointment', 'doctor', 'life', 'believe', 'diet', 'reason', 'every', 'health', 'issue', 'eat', 'food', 'come', 'directly', 'nature', 'without', 'human', 'interference', 'like', 'wild', 'berry', 'fruit', 'root', 'meat', 'wild', 'animal', 'etc', 'hope', 'live', 'upto', 'die', 'natural', 'death', 'never', 'visit', 'doctor', 'health', 'issue', 'take', 'natural', 'medicinal', 'herb', 'etc', 'proven', 'effective', 'far', 'passed', 'ancestor', 'promised', 'never', 'hospital', 'bed', 'autopsy', 'die', 'want', 'body', 'polluted', 'artificial', 'human', 'medication', 'surgery', 'come', 'nature', 'return', 'natural', 'mean']",4
"['absolute', 'warrior']",4
"['god', 'bless']",4
['light'],4
"['please', 'research', 'high', 'dose', 'intravenous', 'vitamin', 'turkey', 'tail', 'mushroom', 'soursop', 'tea', 'well', 'wish', 'ted', 'stamet', 'thomas', 'levy']",4
"['know', 'alkaline', 'diet', 'basische', 'ernährung', 'alkaline', 'diet', 'alkalino', 'food', 'basische', 'ernährung', 'sorry', 'bad', 'destiny', 'even', 'good', 'looking', 'woman', 'happen', 'alkaline', 'diet', 'basische', 'ernährung', 'opinion', 'good', 'health', 'school', 'medicin', 'bad', 'say', 'proof', 'alkaline', 'food', 'helpful']",4
"['starting', 'journey', 'scared', 'core', 'inspiration', 'girl', 'got']",4
"['omg', 'beautiful', 'brave', 'strong', 'pray']",4
"['praying', 'healing', 'everyone', 'try', 'cannabis', 'oil', 'thc', 'cancer', 'worm', 'medicine', 'pig', 'dog', 'kill', 'cancer', 'amen']",4
"['girl', 'remember', 'red', 'devil', 'chemo', 'horrible', 'cry', 'sit', 'toilet', 'nausea', 'horrible', 'fatigue', 'survivor', 'stage', 'like', 'breast', 'cancer', 'estrogen', 'positive', 'year', 'survivor']",4
"['abbraccio', 'grande']",4
['survive'],4
"['husband', '5th', 'round', 'chemo', 'prostrate', 'cancer', 'hard', 'watch', 'know', 'gonna', 'come', 'know']",4
"['glad', 'meet', 'folarin', 'saved', 'brother', 'life', 'god', 'bless', 'brother', 'free', 'cancer', 'permanent', 'treatment', 'thank', 'folarin']",4
"['glad', 'meet', 'folarin', 'saved', 'brother', 'life', 'god', 'bless', 'brother', 'free', 'cancer', 'permanent', 'treatment', 'thank', 'folarin']",4
"['glad', 'meet', 'folarin', 'saved', 'brother', 'life', 'god', 'bless', 'brother', 'free', 'cancer', 'permanent', 'treatment', 'thank', 'folarin']",4
"['suffering', 'cancer', 'meet', 'folarin', 'helped', 'right', 'treatment', 'living', 'good', 'life']",4
"['suffering', 'cancer', 'meet', 'folarin', 'helped', 'right', 'treatment', 'living', 'good', 'life']",4
"['suffering', 'cancer', 'meet', 'folarin', 'helped', 'right', 'treatment', 'living', 'good', 'life']",4
"['mit', 'chemotherapie', 'werden', 'jedes', 'jahr', 'tausende', 'menschen', 'umgebracht', 'ersten', 'weltkrieg', 'hieß', 'senfgas', 'tausende', 'menschen', 'umgebracht', 'worden', 'bei', 'der', 'chemotherapie', 'rollt', 'der', 'rubel', 'für', 'die', 'schulmediziner', 'wie', 'können', 'gifte', 'die', 'einen', 'gesunden', 'menschen', 'krank', 'machen', 'einen', 'kranken', 'menschen', 'gesund', 'machen', 'völlig', 'unlogisch', 'schulmedizin', 'hat', 'mit', 'logik', 'nichts', 'tun', 'die', 'meisten', 'krebspatienten', 'sterben', 'nicht', 'krebs', 'sondern', 'der', 'behandlung', 'nur', 'die', 'klassische', 'naturheilkunde', 'kann', 'krebspatienten', 'heilen']",4
"['господи', 'что', 'происходит', 'почему', 'болеют', 'такие', 'молодые']",4
"['black', 'seed', 'oil', 'schulze', 'superfood', 'plus']",4
"['prayer', 'healing']",4
"['pray', 'lord', 'healed', 'jesus', 'name', 'thank', 'almighty', 'god', 'amen']",4
"['pretty', 'strong', 'really', 'brave']",4
"['friend', 'cancer', 'free', 'year', 'test', 'negative', 'recurrence', 'cancer', 'yet', 'called', 'clinic', 'infusion', 'month', 'month', 'year', 'year', 'whyyyy', 'grandpa', 'cancer', '1940s', 'chemo', 'lived', 'cancer', 'free', 'another', 'year', 'husband', 'cancer', '1976', 'chemo', 'radiation', 'cancer', 'free', 'alive', 'day', 'year', 'later', 'detect', 'scam', 'going']",4
"['kindly', 'read', 'joe', 'dispenza', 'buk', 'going', 'pray', 'tonight', 'okay']",4
"['one', 'care', 'cancer', 'cancer', 'fake', 'even', 'real', 'stop', 'posting']",4
"['lol', 'first', 'time', 'see', 'chemo', 'med', 'injected', 'syringe', 'usually', 'done', 'machine', 'regulates', 'dosage', 'even', 'mechanical', 'regulator']",4
"['wow', 'amazingly', 'brave', 'work', 'pharma', 'helping', 'deliver', 'cancer', 'medicine', 'like', 'patient', 'amazing', 'seeing', 'thank', 'sharing', 'experience']",4
"['people', 'like', 'norm', 'mcdonald', 'even', 'tell', 'closest', 'friend', 'cancer', 'people', 'like', 'put', 'whole', 'life', 'internet', 'obviously', 'gain', 'sympathy', 'share', 'thing', 'like', 'online', 'keep', 'private']",4
"['praying', 'cancer', 'free', '2023']",4
"['get', 'well', 'soon', 'praying']",4
"['declare', 'mouth', 'jesus', 'lord', 'believe', 'heart', 'god', 'raised', 'dead', 'saved', 'heart', 'believe', 'justified', 'mouth', 'profess', 'faith', 'saved', 'roman', 'christ', 'sacrificed', 'take', 'away', 'sin', 'many', 'appear', 'second', 'time', 'bear', 'sin', 'bring', 'salvation', 'waiting', 'hebrew', 'dear', 'god', 'heaven', 'come', 'name', 'jesus', 'acknowledge', 'sinner', 'sorry', 'sin', 'life', 'lived', 'need', 'forgiveness', 'believe', 'begotten', 'jesus', 'christ', 'shed', 'precious', 'blood', 'cross', 'calvary', 'died', 'sin', 'willing', 'turn', 'sin', 'said', 'holy', 'word', 'roman', 'confess', 'lord', 'god', 'believe', 'heart', 'god', 'raised', 'jesus', 'dead', 'shall', 'saved', 'right', 'confess', 'jesus', 'lord', 'soul', 'heart', 'believe', 'god', 'raised', 'jesus', 'dead', 'moment', 'accept', 'jesus', 'christ', 'personal', 'savior', 'according', 'word', 'right', 'saved', 'thank', 'jesus', 'unlimited', 'grace', 'saved', 'sin', 'thank', 'jesus', 'grace', 'never', 'lead', 'license', 'rather', 'always', 'lead', 'repentance', 'therefore', 'lord', 'jesus', 'transform', 'life', 'may', 'bring', 'glory', 'honor', 'alone', 'thank', 'jesus', 'dying', 'giving', 'eternal', 'life', 'amen']",4
"['solution', 'enough', 'true', 'story', 'people', 'various', 'form', 'cancer', 'healed']",4
"['chemo', 'pure', 'poison', 'make', 'sicker', 'people', 'stupid']",4
"['praying', 'beat', 'cancer', 'pretty', 'girl']",4
"['good', 'luck']",4
"['totally', 'get', 'stage', 'lung', 'cancer', 'brain', 'mets', 'currently', 'chemo']",4
"['something', 'wrong', 'got', 'chemical', 'food', 'air']",4
"['infusion', 'next', 'week', 'tuesday', 'video', 'interesting', 'keeping', 'emotional']",4
"['god', 'bless', 'family', 'never', 'got', 'chance', 'start', 'mine', 'unfortunately', 'way', 'late', 'continue', 'pray', 'family']",4
"['beautiful', 'strong', 'courageous']",4
"['bow', 'recently', 'found', 'strong', 'herb', 'heal', 'cancer', 'completely', 'human', 'body', 'without', 'surgery', 'cured', 'many', 'people', 'south', 'africa', 'beyond', 'strange', 'herb', 'victim', 'cancer', 'terrible', 'experience', 'anymore']",4
"['see', 'cancer', 'thérapy']",4
"['jak', 'ludzie', 'mogą', 'się', 'tak', 'truć', 'wstrzykując', 'sobie', 'broń', 'biologiczna', 'która', 'tak', 'niczego', 'dobrego', 'nie', 'zrobi', 'wrecz', 'odwrotnie', 'wyniszcza', 'cały', 'organizm', 'narządy', 'niszczy', 'zdrowe', 'komórki', 'mutujac', 'chemizacja', 'nie', 'zabija', 'najgorszego', 'zła', 'jakim', 'jest', 'komórka', 'macierzysta', 'nawet', 'jej', 'nie', 'powącha']",4
"['thought', 'chemotherapy', 'hand', 'saw']",4
"['beautiful', 'lady']",4
"['girl', 'stage', 'throat', 'cancer', 'year', 'ago', 'love', 'love', 'good', 'hope', 'well']",4
"['god', 'bless']",4
"['admire', 'courage', 'thank', 'sharing', 'recently', 'diagnosed', 'unusual', 'non', 'hodgkin', 'lymphoma', 'come', 'across', 'anyone', 'else', 'whose', 'one', 'memorial', 'sloan', 'kettering', 'data', 'base', 'faith', 'hope', 'humor', 'help', 'fight', 'awful', 'disease', 'stay', 'strong', 'beautiful', 'lady']",4
"['stage', 'cervix', 'cervical', 'cancer', 'spread', 'lymph', 'node', 'two', 'lung', 'windmill', 'get', 'dear', 'god', 'bless']",4
"['giving', 'thanks', 'ogoh', 'something', 'always', 'take', 'personal', 'brought', 'back', 'full', 'health', 'year', 'surfing', 'cancer', 'disease']",4
"['best', 'wish', 'pakistan', 'get', 'well', 'soooon']",4
"['needle', 'painful', 'radiotherapy', 'chemo', 'hope', 'technology', 'improves', 'cause', 'patient', 'pain', 'side', 'effect']",4
"['thank', 'drohanon', 'helping', 'get', 'rid', 'cancer', 'disease']",4
"['going', 'chemo', 'right', 'breast', 'cancer', 'fun', 'got', 'first', 'last', 'week', 'still', 'feeling', 'effect', 'weakness', 'tiredness', 'mouth', 'sore', 'stomach', 'cramp', 'hair', 'fallen', 'yet', 'next', 'treatment']",4
"['hurt', 'bad', 'look', 'brother', 'went', 'thing', 'going', 'even', 'know', 'cancer', 'late', 'stage', 'cancer', 'went', 'doctor', 'said', 'breathe', 'went', 'doctor', 'thought', 'pneumonia', 'test', 'found', 'cancer', 'stage', 'tried', 'treatment', 'radiation', 'laser', 'therapy', 'none', 'work', 'late', 'died', 'july', 'year', '2022', 'hate', 'bad', 'never', 'thought', 'would', 'happen', 'family', 'fought', 'way', 'end', 'lost', 'never', 'forgotten', 'love', 'big', 'bro']",4
"['sănătate', 'scumpo']",4
"['texas', 'usa', 'thank', 'ohanon', 'good', 'work', 'girlfriend', 'suffering', 'cancer', 'disease', 'year', 'met', 'wonderful', 'man', 'youtube', 'cancer', 'free']",4
"['got', 'married', 'month', 'ago', 'pregnant', 'twin', '12weeks', 'found', 'got', 'aggressive', 'cancer', 'going', 'chemo', 'like', 'every', 'pain', 'feel', 'still', 'believe', 'make', 'cry', 'least', 'day', 'feel', 'nobody', 'tell', 'chemo', 'change', 'whole', 'personality', 'time', 'scary', 'sad']",4
"['might', 'chemo', 'soon', 'may', 'ask', 'chemo', 'feel', 'throw', 'right', 'away']",4
"['praying', 'seeing', 'first', 'time', 'may', 'jehovah', 'god', 'bless', 'comfort', 'eliminate', 'pain', 'proclaiming', 'full', 'complete', 'healing', 'god', 'bless', 'family']",4
"['take', 'care', 'always', 'god', 'bless']",4
"['kid', 'sad', 'think', 'cancer', 'patient', 'feel', 'suffer', 'life', 'painful', 'journey', 'emotional', 'physical']",4
"['wear', 'wig', 'see', 'cooking', 'scalp', 'used', 'treatment']",4
"['take', 'supplement', 'chemotherapy', 'makeing', 'people', 'get', 'cancer', 'choice', 'decision', 'pray', 'name', 'jesus', 'get', 'strong', 'mighty', 'name', 'jesus']",4
"['year', 'old', 'going', 'weekly', 'possibly', 'week', 'thank', 'god', 'least', 'working', 'hard', 'standing']",4
"['even', 'young', 'facing', 'chemo', 'suffering', 'imagine', 'mom', 'age', 'several', 'chemo', 'break', 'heart', 'see', 'dying', 'away', 'rejecting', 'chemo', 'session', 'consoled', 'depressed', 'accept', 'death', 'peace', 'body', 'may', 'break', 'spirit', 'eternal']",4
"['voglio', 'bene']",4
"['million', 'view', 'average', 'view', 'per', 'video', 'lol']",4
"['got', 'girl', 'strong']",4
"['young', 'lady', 'brave', 'sending', 'hug', 'kiss']",4
"['technoblade', 'never']",4
"['happy', 'thanksgiving', 'praying', 'sending', 'love', 'prayer']",4
"['type', 'cristina', 'sanchez', 'cannabis', 'cancer', 'research', 'research', 'research']",4
"['happy', 'see', 'loving', 'husband', 'care', 'beside', 'may', 'god', 'bless', 'happy', 'long', 'life']",4
"['ive', 'know', 'feeling']",4
"['sending', 'positive', 'vibe', 'strong']",4
"['also', 'cml', 'blood', 'cancer', 'jesus', 'christ', 'great', 'prise', 'lord']",4
"['chemo', 'make', 'sicker', 'slowly', 'say', 'smoking', 'wee', 'watching', 'weed']",4
