data,tokens
comment: httpsyoutubefehftrwusimdghdupzsjja,"['comment', 'httpsyoutubefehftrwusimdghdupzsjja']"
comment: almighty god help every sick personlet them not worry and trust in youlord,"['comment', 'almighty', 'god', 'help', 'every', 'sick', 'personlet', 'worry', 'trust', 'youlord']"
comment: yeah but can they beat goku,"['comment', 'yeah', 'beat', 'goku']"
comment: graviola leaf capsule does it or sir jason winters tea with sage goodluck everyone,"['comment', 'graviola', 'leaf', 'capsule', 'sir', 'jason', 'winter', 'tea', 'sage', 'goodluck', 'everyone']"
comment: please pray for my mom,"['comment', 'please', 'pray', 'mom']"
comment: it’s high time everyone reach out to drosuma for all kinds of health issues such as herpes virus  bad breath cancer  a very big thank you for making me be my self,"['comment', 'high', 'time', 'everyone', 'reach', 'drosuma', 'kinds', 'health', 'issue', 'herpes', 'virus', 'bad', 'breath', 'cancer', 'big', 'thank', 'make', 'self']"
comment: can she beat goku tho,"['comment', 'beat', 'goku', 'tho']"
comment: can she beat goku tho,"['comment', 'beat', 'goku', 'tho']"
comment: pliz pray for my mother,"['comment', 'pliz', 'pray', 'mother']"
comment: lil durk better,"['comment', 'lil', 'durk', 'better']"
comment: thanks a lot for saving my life from deadly cancer disease am really happy to be able to testify of how great herbs can be  follow drosuma for total cure,"['comment', 'thank', 'lot', 'save', 'life', 'deadly', 'cancer', 'disease', 'really', 'happy', 'able', 'testify', 'great', 'herbs', 'follow', 'drosuma', 'total', 'cure']"
comment: can they beat goku tho,"['comment', 'beat', 'goku', 'tho']"
"comment: thank you so much 
you give me hope 
to beat up my cancer","['comment', 'thank', 'much', 'give', 'hope', 'beat', 'cancer']"
"comment: im so glad i met dr edoba on youtube a good friend of mine recommended him to mei cant believe am cured of this forever now my breast cancer is gone for life 
thanks doc","['comment', 'im', 'glad', 'meet', 'dr', 'edoba', 'youtube', 'good', 'friend', 'mine', 'recommend', 'mei', 'cant', 'believe', 'cure', 'forever', 'breast', 'cancer', 'go', 'life', 'thank', 'doc']"
comment: please have a long life,"['comment', 'please', 'long', 'life']"
comment: bro why are there  dislikes,"['comment', 'bro', 'dislike']"
comment: hi i have to make an project in school about someone distende they recovered it like you and i will write about you🤍,"['comment', 'hi', 'make', 'project', 'school', 'someone', 'distende', 'recover', 'like', 'write']"
comment: my mother is diagnose with ca breast metastasis to axillary  node please pray for my mother,"['comment', 'mother', 'diagnose', 'ca', 'breast', 'metastasis', 'axillary', 'node', 'please', 'pray', 'mother']"
"comment: the comments

 my momi surviveddie from breast cancer
 i hope all people who have cancers survive 















that  mf can she beat goku though","['comment', 'comment', 'momi', 'surviveddie', 'breast', 'cancer', 'hope', 'people', 'cancers', 'survive', 'mf', 'beat', 'goku', 'though']"
comment: the cancer already in lymph node and liver we tried different drugs and treatment but it was still not working we spent a lot of money on the process still no changes until a friend of mine advised us to try herbal medicine she told me about dr eden and how he has been curing people from cancer and other deadly diseases with his herbal products so we quickly contacted him and explain everything to him and he assured us that his herbal products can cure my husband so we purchased,"['comment', 'cancer', 'already', 'lymph', 'node', 'liver', 'try', 'different', 'drug', 'treatment', 'still', 'work', 'spend', 'lot', 'money', 'process', 'still', 'change', 'friend', 'mine', 'advise', 'us', 'try', 'herbal', 'medicine', 'tell', 'dr', 'eden', 'cure', 'people', 'cancer', 'deadly', 'diseases', 'herbal', 'products', 'quickly', 'contact', 'explain', 'everything', 'assure', 'us', 'herbal', 'products', 'cure', 'husband', 'purchase']"
comment: is cancer stage  serious or dangerous,"['comment', 'cancer', 'stage', 'serious', 'dangerous']"
comment: where i actually got the perfect cure to my cancer i got my herbal medication from dr osoria  i used it for just  weeks and i got cured totally  thank you doctor  i love you  im also glad that i came across your channel on youtube,"['comment', 'actually', 'get', 'perfect', 'cure', 'cancer', 'get', 'herbal', 'medication', 'dr', 'osoria', 'use', 'weeks', 'get', 'cure', 'totally', 'thank', 'doctor', 'love', 'im', 'also', 'glad', 'come', 'across', 'channel', 'youtube']"
comment: where i actually got the perfect cure to my cancer i got my herbal medication from dr osoria  i used it for just  weeks and i got cured totally  thank you doctor  i love you  im also glad that i came across your channel on youtube,"['comment', 'actually', 'get', 'perfect', 'cure', 'cancer', 'get', 'herbal', 'medication', 'dr', 'osoria', 'use', 'weeks', 'get', 'cure', 'totally', 'thank', 'doctor', 'love', 'im', 'also', 'glad', 'come', 'across', 'channel', 'youtube']"
comment: meeting dr osoria on youtube has been one of the best days of my life after years of surfing i have been finally cured from hsv thanks doc you deserve more than and appreciate,"['comment', 'meet', 'dr', 'osoria', 'youtube', 'one', 'best', 'days', 'life', 'years', 'surf', 'finally', 'cure', 'hsv', 'thank', 'doc', 'deserve', 'appreciate']"
comment: meeting dr osoria on youtube has been one of the best days of my life after years of surfing i have been finally cured from hsv thanks doc you deserve more than and appreciate,"['comment', 'meet', 'dr', 'osoria', 'youtube', 'one', 'best', 'days', 'life', 'years', 'surf', 'finally', 'cure', 'hsv', 'thank', 'doc', 'deserve', 'appreciate']"
comment: i know im not perfect i have some habits i got used to  i got some problems of a lungs cancer which made me so weak and confused but thank god that the medication i got from dr osoria got me cured just as he promised,"['comment', 'know', 'im', 'perfect', 'habit', 'get', 'use', 'get', 'problems', 'lungs', 'cancer', 'make', 'weak', 'confuse', 'thank', 'god', 'medication', 'get', 'dr', 'osoria', 'get', 'cure', 'promise']"
comment: i know im not perfect i have some habits i got used to  i got some problems of a lungs cancer which made me so weak and confused but thank god that the medication i got from dr osoria got me cured just as he promised,"['comment', 'know', 'im', 'perfect', 'habit', 'get', 'use', 'get', 'problems', 'lungs', 'cancer', 'make', 'weak', 'confuse', 'thank', 'god', 'medication', 'get', 'dr', 'osoria', 'get', 'cure', 'promise']"
comment: after all the years of looking for cure i finally found one by the help of dr osoria on youtube channel he has perfect herbal medication to help cure cancer thanks,"['comment', 'years', 'look', 'cure', 'finally', 'find', 'one', 'help', 'dr', 'osoria', 'youtube', 'channel', 'perfect', 'herbal', 'medication', 'help', 'cure', 'cancer', 'thank']"
comment: after all the years of looking for cure i finally found one by the help of dr osoria on youtube channel he has perfect herbal medication to help cure cancer thanks,"['comment', 'years', 'look', 'cure', 'finally', 'find', 'one', 'help', 'dr', 'osoria', 'youtube', 'channel', 'perfect', 'herbal', 'medication', 'help', 'cure', 'cancer', 'thank']"
comment: i was suffering from similar issues in the past but im glad it has been fixed by dr osoria,"['comment', 'suffer', 'similar', 'issue', 'past', 'im', 'glad', 'fix', 'dr', 'osoria']"
comment: i was suffering from similar issues in the past but im glad it has been fixed by dr osoria,"['comment', 'suffer', 'similar', 'issue', 'past', 'im', 'glad', 'fix', 'dr', 'osoria']"
"comment: all cancers cured
httpscancerdoneblogspotcombreastcancercuredhtml
	in  the moffitt cancer centre published  patient double blind trial supervised by three medical professors into high intensity ultrasound and clearing cancer and viruses  it also works for bacterial infections
	 minute of eg  w  mhz ultrasound and  inches above the root of a mans penis  clears prostate cancer at one session  no registered dr was any more allowed to research or prescribe biochemical treatments four prostate cancer   and the drug company is are for ever and nursing new improved biochemical treatments four prostate cancer
	there are no registered dr is allowed to research and such defective and fatal medicine  it works for all  types of cancer out there medics scream not my cancers
	it works for all  cancers out there  which share a non native inflated cell structure were all cancers plus viral and bacterial infections
	h₂ophius→heoe²xray","['comment', 'cancers', 'cure', 'httpscancerdoneblogspotcombreastcancercuredhtml', 'moffitt', 'cancer', 'centre', 'publish', 'patient', 'double', 'blind', 'trial', 'supervise', 'three', 'medical', 'professors', 'high', 'intensity', 'ultrasound', 'clear', 'cancer', 'viruses', 'also', 'work', 'bacterial', 'infections', 'minute', 'eg', 'w', 'mhz', 'ultrasound', 'inch', 'root', 'man', 'penis', 'clear', 'prostate', 'cancer', 'one', 'session', 'register', 'dr', 'allow', 'research', 'prescribe', 'biochemical', 'treatments', 'four', 'prostate', 'cancer', 'drug', 'company', 'ever', 'nurse', 'new', 'improve', 'biochemical', 'treatments', 'four', 'prostate', 'cancer', 'register', 'dr', 'allow', 'research', 'defective', 'fatal', 'medicine', 'work', 'type', 'cancer', 'medics', 'scream', 'cancers', 'work', 'cancers', 'share', 'non', 'native', 'inflate', 'cell', 'structure', 'cancers', 'plus', 'viral', 'bacterial', 'infections']"
comment: thanks for sharing yall story yall are strong beautiful ladies,"['comment', 'thank', 'share', 'yall', 'story', 'yall', 'strong', 'beautiful', 'ladies']"
comment: for god so loved the world that he gave his only begotten son that whosoever believeth in him should not perish but have everlasting life,"['comment', 'god', 'love', 'world', 'give', 'beget', 'son', 'whosoever', 'believeth', 'perish', 'everlasting', 'life']"
comment: my wife has it i am scared but i cant show her that,"['comment', 'wife', 'scar', 'cant', 'show']"
"comment: god is so great i contacted doctorpatrickelvis concerning my son who is autistic for the past five years now he sent me his medicines and i used it for one months my son is now free from autism he can now talks clearly have good eye contact he love to play with other children he is now verbal no more head hurts no more bitting his clothes and hands he now behave normal living a fulfil life 
httpsyoutubecomchannelucfapncmferchukryw
doctorpatrickelvis","['comment', 'god', 'great', 'contact', 'doctorpatrickelvis', 'concern', 'son', 'autistic', 'past', 'five', 'years', 'send', 'medicine', 'use', 'one', 'months', 'son', 'free', 'autism', 'talk', 'clearly', 'good', 'eye', 'contact', 'love', 'play', 'children', 'verbal', 'head', 'hurt', 'bitting', 'clothe', 'hand', 'behave', 'normal', 'live', 'fulfil', 'life', 'httpsyoutubecomchannelucfapncmferchukryw', 'doctorpatrickelvis']"
"comment: god is so great i contacted doctorpatrickelvis concerning my son who is autistic for the past five years now he sent me his medicines and i used it for one months my son is now free from autism he can now talks clearly have good eye contact he love to play with other children he is now verbal no more head hurts no more bitting his clothes and hands he now behave normal living a fulfil life 
httpsyoutubecomchannelucfapncmferchukryw
doctorpatrickelvis","['comment', 'god', 'great', 'contact', 'doctorpatrickelvis', 'concern', 'son', 'autistic', 'past', 'five', 'years', 'send', 'medicine', 'use', 'one', 'months', 'son', 'free', 'autism', 'talk', 'clearly', 'good', 'eye', 'contact', 'love', 'play', 'children', 'verbal', 'head', 'hurt', 'bitting', 'clothe', 'hand', 'behave', 'normal', 'live', 'fulfil', 'life', 'httpsyoutubecomchannelucfapncmferchukryw', 'doctorpatrickelvis']"
comment: would love to appreciate dr osoria for bringing back happiness to my life with hes herbal wonders youre a saint and i cherish our meeting youre good drosoria,"['comment', 'would', 'love', 'appreciate', 'dr', 'osoria', 'bring', 'back', 'happiness', 'life', 'hes', 'herbal', 'wonder', 'youre', 'saint', 'cherish', 'meet', 'youre', 'good', 'drosoria']"
comment: i have been really scared to get in to a relationship with anyone again untill i get cured  i never knew herpes was very deadly it hurts the most emotionally thanks to dr igho channel for helping me with the sacred antidote,"['comment', 'really', 'scar', 'get', 'relationship', 'anyone', 'untill', 'get', 'cure', 'never', 'know', 'herpes', 'deadly', 'hurt', 'emotionally', 'thank', 'dr', 'igho', 'channel', 'help', 'sacred', 'antidote']"
comment: ratio,"['comment', 'ratio']"
comment: i just had my right breast removed on  i had cancer i am not gonna let it get in my way i am going to beat this ugly thing i choose to be positive and believe that the lord is by my side you have to believe it in your heart or jesus wont help you give it all to the lord and see what happens you may live on this earth or you may go to live with our great lord,"['comment', 'right', 'breast', 'remove', 'cancer', 'gon', 'na', 'let', 'get', 'way', 'go', 'beat', 'ugly', 'thing', 'choose', 'positive', 'believe', 'lord', 'side', 'believe', 'heart', 'jesus', 'wont', 'help', 'give', 'lord', 'see', 'happen', 'may', 'live', 'earth', 'may', 'go', 'live', 'great', 'lord']"
comment: a very big thanks to you doc may god reward you richly please guys also try sour sop fruits and recipes a lot of patients have recovered fully using it,"['comment', 'big', 'thank', 'doc', 'may', 'god', 'reward', 'richly', 'please', 'guy', 'also', 'try', 'sour', 'sop', 'fruit', 'recipes', 'lot', 'patients', 'recover', 'fully', 'use']"
comment: i would like to know if you could give me dr morans adress nd pone noumber  plese i have a friend  and she was just told she have brest cancer i would great full  if you could help me,"['comment', 'would', 'like', 'know', 'could', 'give', 'dr', 'morans', 'adress', 'nd', 'pone', 'noumber', 'plese', 'friend', 'tell', 'brest', 'cancer', 'would', 'great', 'full', 'could', 'help']"
comment: my mother is suffering from stage  breast cancer from   after treatment her hand and legs got swollen what to do,"['comment', 'mother', 'suffer', 'stage', 'breast', 'cancer', 'treatment', 'hand', 'legs', 'get', 'swell']"
comment: dr igho medication and experience helped speed up my healing process i wonder what might have become of me if i hadnt come across your channel on youtube god bless you dr igho for helping me cure my cancer naturally  god bless you,"['comment', 'dr', 'igho', 'medication', 'experience', 'help', 'speed', 'heal', 'process', 'wonder', 'might', 'become', 'hadnt', 'come', 'across', 'channel', 'youtube', 'god', 'bless', 'dr', 'igho', 'help', 'cure', 'cancer', 'naturally', 'god', 'bless']"
comment: i feel a something very hard on my breast and painful to touch the worst part is i cant get the medical assistant to help me through the journey,"['comment', 'feel', 'something', 'hard', 'breast', 'painful', 'touch', 'worst', 'part', 'cant', 'get', 'medical', 'assistant', 'help', 'journey']"
comment: if the world had more people like you  it would be a better place  you make a difference  dr igho on youtube thank you for curing my breast cancer and introducing your herbal products to the worlds,"['comment', 'world', 'people', 'like', 'would', 'better', 'place', 'make', 'difference', 'dr', 'igho', 'youtube', 'thank', 'cure', 'breast', 'cancer', 'introduce', 'herbal', 'products', 'worlds']"
comment: i humbly appreciate your kind gesture drauchi on youtube channel you was able to help me with my health issues the breast cancer disease was something the world thought has no cure but i’m happy to say today that i’ve been cured with your herbs and i’m glad to have you as my doctor…httpsyoutubecomchanneluctatilkxbylcrcg,"['comment', 'humbly', 'appreciate', 'kind', 'gesture', 'drauchi', 'youtube', 'channel', 'able', 'help', 'health', 'issue', 'breast', 'cancer', 'disease', 'something', 'world', 'think', 'cure', 'happy', 'say', 'today', 'cure', 'herbs', 'glad']"
comment: but can they beat goku tho,"['comment', 'beat', 'goku', 'tho']"
comment: god bless dr ogie on youtube for the healing he gave to my daughter who was suffering from breast cancer,"['comment', 'god', 'bless', 'dr', 'ogie', 'youtube', 'heal', 'give', 'daughter', 'suffer', 'breast', 'cancer']"
comment: god bless dr ogie on youtube for the healing he gave to my daughter who was suffering from breast cancer,"['comment', 'god', 'bless', 'dr', 'ogie', 'youtube', 'heal', 'give', 'daughter', 'suffer', 'breast', 'cancer']"
"comment: giving thanks to dr dagba on youtube is something i will always take personal
because he brought me back to my full health i am permanently cured from breast cancer  thank you doc  
drdagba","['comment', 'give', 'thank', 'dr', 'dagba', 'youtube', 'something', 'always', 'take', 'personal', 'bring', 'back', 'full', 'health', 'permanently', 'cure', 'breast', 'cancer', 'thank', 'doc', 'drdagba']"
"comment: fighting with multiple cancer 
cancer survivor story of a  years old 
httpsyoutubefkfdjwxk","['comment', 'fight', 'multiple', 'cancer', 'cancer', 'survivor', 'story', 'years', 'old', 'httpsyoutubefkfdjwxk']"
comment: shot answer its because cancer isnt a disease cause by bacteria and virus but a group of mutated cells hurting the body it can happen literally anytime but certain things increase the chances thank you dr itoya for your advice on what to be doing to prevent cancer and most importantly the herbal medications you send to me to put a stop to the one i have already thank you the great doctor of our time you can reach him on youtube channel,"['comment', 'shoot', 'answer', 'cancer', 'isnt', 'disease', 'cause', 'bacteria', 'virus', 'group', 'mutate', 'cells', 'hurt', 'body', 'happen', 'literally', 'anytime', 'certain', 'things', 'increase', 'chance', 'thank', 'dr', 'itoya', 'advice', 'prevent', 'cancer', 'importantly', 'herbal', 'medications', 'send', 'put', 'stop', 'one', 'already', 'thank', 'great', 'doctor', 'time', 'reach', 'youtube', 'channel']"
comment: with the immediate healing i got from dr itoya herbal medicine then i know this man inherited this work from his father and the blood flow in his veins thank you doctor for making me cancer negative completely without any side effects you can reach him on youtube channel,"['comment', 'immediate', 'heal', 'get', 'dr', 'itoya', 'herbal', 'medicine', 'know', 'man', 'inherit', 'work', 'father', 'blood', 'flow', 'vein', 'thank', 'doctor', 'make', 'cancer', 'negative', 'completely', 'without', 'side', 'effect', 'reach', 'youtube', 'channel']"
comment: i almost gave up because no doctor could healed me but until i meant dr itoya channel on youtube who proof to me that all doctors are not the same thank you very much doctor for making me cancer negative completely without any side effects,"['comment', 'almost', 'give', 'doctor', 'could', 'heal', 'mean', 'dr', 'itoya', 'channel', 'youtube', 'proof', 'doctor', 'thank', 'much', 'doctor', 'make', 'cancer', 'negative', 'completely', 'without', 'side', 'effect']"
comment: dr itoya is my saviour i thought all hope was lost until a friend recommended him to me thank you doctor for making me a cancer negative you can reach him on youtube channel,"['comment', 'dr', 'itoya', 'saviour', 'think', 'hope', 'lose', 'friend', 'recommend', 'thank', 'doctor', 'make', 'cancer', 'negative', 'reach', 'youtube', 'channel']"
comment: my wife just dignosed breast cancer allah is a great remember in your prayers,"['comment', 'wife', 'dignosed', 'breast', 'cancer', 'allah', 'great', 'remember', 'prayers']"
"comment: very luckily im a fighter of colon cancer and also i was diagnosed with it when i was  my heart almost broken with shards now im  got it when i was just turnt  anyone else  who has cancer prsying for your survival i still have it and im really scared right now the doctors tell me not to worry
edit today was a very sad day as i recently just saw my  grandmother die of covid at the morning off friday th may  pm she passed away for a long battle with covid she was a very good grandmother and im wishing the best for people who suffer with rabies cancer and more praying for you all 

sincerely
jacob beller","['comment', 'luckily', 'im', 'fighter', 'colon', 'cancer', 'also', 'diagnose', 'heart', 'almost', 'break', 'shards', 'im', 'get', 'turnt', 'anyone', 'else', 'cancer', 'prsying', 'survival', 'still', 'im', 'really', 'scar', 'right', 'doctor', 'tell', 'worry', 'edit', 'today', 'sad', 'day', 'recently', 'saw', 'grandmother', 'die', 'covid', 'morning', 'friday', 'th', 'may', 'pm', 'pass', 'away', 'long', 'battle', 'covid', 'good', 'grandmother', 'im', 'wish', 'best', 'people', 'suffer', 'rabies', 'cancer', 'pray', 'sincerely', 'jacob', 'beller']"
"comment: i never thought it is possible to cure cancer  till l
found doctor alued on youtube with his herbal medicine i was cured completely of cancer it been  months now and im totally okay with no symptoms of the illness coming back","['comment', 'never', 'think', 'possible', 'cure', 'cancer', 'till', 'l', 'find', 'doctor', 'alued', 'youtube', 'herbal', 'medicine', 'cure', 'completely', 'cancer', 'months', 'im', 'totally', 'okay', 'symptoms', 'illness', 'come', 'back']"
comment: being diagnosed with  cancer has been a major loss of money and has caused major problems in my immune systembut when i came across dr osaka on youtube channel and he recommended his herbal medicine i got completely cured of cancer,"['comment', 'diagnose', 'cancer', 'major', 'loss', 'money', 'cause', 'major', 'problems', 'immune', 'systembut', 'come', 'across', 'dr', 'osaka', 'youtube', 'channel', 'recommend', 'herbal', 'medicine', 'get', 'completely', 'cure', 'cancer']"
comment: my mom was diagnosed with breast cancer  months ago and now we’re still fighting pray the best for all of us i love her to death,"['comment', 'mom', 'diagnose', 'breast', 'cancer', 'months', 'ago', 'still', 'fight', 'pray', 'best', 'us', 'love', 'death']"
comment: guts went through more,"['comment', 'gut', 'go']"
comment: god bless you and wish you a continuous good health,"['comment', 'god', 'bless', 'wish', 'continuous', 'good', 'health']"
comment: may god give strength to all the fighters of lifes battles  my prayers to all of you one love,"['comment', 'may', 'god', 'give', 'strength', 'fighters', 'lifes', 'battle', 'prayers', 'one', 'love']"
comment: i also had breast cancei suffer a lotbut now i am a strong human,"['comment', 'also', 'breast', 'cancei', 'suffer', 'lotbut', 'strong', 'human']"
comment: i’m so excited i was able to get my life back with the herbal products and supplements i got from dr harvey herbal world on youtube,"['comment', 'excite', 'able', 'get', 'life', 'back', 'herbal', 'products', 'supplement', 'get', 'dr', 'harvey', 'herbal', 'world', 'youtube']"
comment: amennnn,"['comment', 'amennnn']"
comment: double dds but i hope they dd did die,"['comment', 'double', 'dds', 'hope', 'dd', 'die']"
comment: have you tried jesus he can heal you call out to him ask him to save you and heal you watch club testimonies on youtube to build up your faith read the bible and do what it says i want you to live and go to heaven and not hell after death also start saying that all cancer cells in my body will die in jesus name listen to demon cast out videos on youtube cause there are infirmity demons that can give sicknesses watch on club a cancer testimony where god told a person to cast the cancer out please do not let your unbelief or doubt kill you and bring you to hell jesus died for your sins on the cross and rose from the dead he loved you so much that he died for you if you were the only person on this planet he would still have died for you cause of his  love for you,"['comment', 'try', 'jesus', 'heal', 'call', 'ask', 'save', 'heal', 'watch', 'club', 'testimonies', 'youtube', 'build', 'faith', 'read', 'bible', 'say', 'want', 'live', 'go', 'heaven', 'hell', 'death', 'also', 'start', 'say', 'cancer', 'cells', 'body', 'die', 'jesus', 'name', 'listen', 'demon', 'cast', 'videos', 'youtube', 'cause', 'infirmity', 'demons', 'give', 'sicknesses', 'watch', 'club', 'cancer', 'testimony', 'god', 'tell', 'person', 'cast', 'cancer', 'please', 'let', 'unbelief', 'doubt', 'kill', 'bring', 'hell', 'jesus', 'die', 'sin', 'cross', 'rise', 'dead', 'love', 'much', 'die', 'person', 'planet', 'would', 'still', 'die', 'cause', 'love']"
comment: my wife  mother of  got stage  breast cancer she went through treatment insurmountable pain and lost her job our home the kids ran awat and her friends abandoned her s he is now a bitter mean disgusting nagging ungrateful useless bitch we are in poverty and i have to care for her fuck cancer its is nota glorious blessing full of pink ribbons and smiling faces it ir a big matter of medical bills and despair for most people and it destroys unrelentlessly she became psychotic and ended up in a psychiatric ward she tried to kill herself and she is now on antipsychotic medication because she is demented fro all the drugs and everyone makes fun of her twist is if she dies i am screwed as i need her disability and carers payment to pay my rent fml fuck cancer,"['comment', 'wife', 'mother', 'get', 'stage', 'breast', 'cancer', 'go', 'treatment', 'insurmountable', 'pain', 'lose', 'job', 'home', 'kid', 'run', 'awat', 'friends', 'abandon', 'bitter', 'mean', 'disgust', 'nag', 'ungrateful', 'useless', 'bitch', 'poverty', 'care', 'fuck', 'cancer', 'nota', 'glorious', 'bless', 'full', 'pink', 'ribbons', 'smile', 'face', 'ir', 'big', 'matter', 'medical', 'bill', 'despair', 'people', 'destroy', 'unrelentlessly', 'become', 'psychotic', 'end', 'psychiatric', 'ward', 'try', 'kill', 'antipsychotic', 'medication', 'demented', 'fro', 'drug', 'everyone', 'make', 'fun', 'twist', 'die', 'screw', 'need', 'disability', 'carers', 'payment', 'pay', 'rent', 'fml', 'fuck', 'cancer']"
comment: ratioo,"['comment', 'ratioo']"
comment: im happy that they all made it i hope their stories get more well known i become thankful for the life and health that i had i felt guilty of the times i didnt listen to my parents to take care of my health i hope everyone stays healthy just because you got a stage  doesnt mean you are going to die so please dont lose hope,"['comment', 'im', 'happy', 'make', 'hope', 'stories', 'get', 'well', 'know', 'become', 'thankful', 'life', 'health', 'felt', 'guilty', 'time', 'didnt', 'listen', 'parent', 'take', 'care', 'health', 'hope', 'everyone', 'stay', 'healthy', 'get', 'stage', 'doesnt', 'mean', 'go', 'die', 'please', 'dont', 'lose', 'hope']"
"comment: i came across this woman cancer survivor story its so inspirational she was the second survivor in uk
httpsyoutubeynqojxvppu","['comment', 'come', 'across', 'woman', 'cancer', 'survivor', 'story', 'inspirational', 'second', 'survivor', 'uk', 'httpsyoutubeynqojxvppu']"
comment: nerf miner too op,"['comment', 'nerf', 'miner', 'op']"
comment: i was diagnosed breast cancer at  too and im starting to expose my story too to inspire people with the same case with me httpsyoutubeeaixrclkcc,"['comment', 'diagnose', 'breast', 'cancer', 'im', 'start', 'expose', 'story', 'inspire', 'people', 'case', 'httpsyoutubeeaixrclkcc']"
comment: im now free from cancer all glory to dr abiola drabiola,"['comment', 'im', 'free', 'cancer', 'glory', 'dr', 'abiola', 'drabiola']"
comment: im now free from cancer all glory to dr abiola drabiola,"['comment', 'im', 'free', 'cancer', 'glory', 'dr', 'abiola', 'drabiola']"
comment: this is dr cutsyorboobof hope the best  i don’t mean any of this it’s a south park reference,"['comment', 'dr', 'cutsyorboobof', 'hope', 'best', 'mean', 'south', 'park', 'reference']"
comment: a big thanks to dr gbenga on youtube who cured me from cancer of the breast with his herbal medicine,"['comment', 'big', 'thank', 'dr', 'gbenga', 'youtube', 'cure', 'cancer', 'breast', 'herbal', 'medicine']"
comment: my partner and i was able to get rid of our genital herpes virus permanently with the nature herbal medications we both ordered from dr igudia on youtube,"['comment', 'partner', 'able', 'get', 'rid', 'genital', 'herpes', 'virus', 'permanently', 'nature', 'herbal', 'medications', 'order', 'dr', 'igudia', 'youtube']"
comment: i find out effective herbal remedies for breast cancer  🦠 cure from drauchi on youtube channel where i find a permanent cure to mine breast cancer  🦠 problemi’m grateful to you doctorhttpsyoutubecomchanneluctatilkxbylcrcg,"['comment', 'find', 'effective', 'herbal', 'remedy', 'breast', 'cancer', 'cure', 'drauchi', 'youtube', 'channel', 'find', 'permanent', 'cure', 'mine', 'breast', 'cancer', 'problemi', 'grateful', 'doctorhttpsyoutubecomchanneluctatilkxbylcrcg']"
