Text,Tokenized,Processed_Text
get nails done,"['get', 'nails', 'done']",get nails done
hope got rid still got happy god bless friends,"['hope', 'got', 'rid', 'still', 'got', 'happy', 'god', 'bless', 'friends']",hope got rid still got happy god bless friends
hi baby going though thing glad contacted day great help lov best friend cancer spread life,"['hi', 'baby', 'going', 'though', 'thing', 'glad', 'contacted', 'day', 'great', 'help', 'lov', 'best', 'friend', 'cancer', 'spread', 'life']",hi baby going though thing glad contacted day great help lov best friend cancer spread life
sorry go know going wish best journey,"['sorry', 'go', 'know', 'going', 'wish', 'best', 'journey']",sorry go know going wish best journey
ciento mucho el proselitismo pero ay dios va ayudarte poderoso,"['ciento', 'mucho', 'el', 'proselitismo', 'pero', 'ay', 'dios', 'va', 'ayudarte', 'poderoso']",ciento mucho el proselitismo pero ay dios va ayudarte poderoso
curry blake jglm ministries changed life hope able change well,"['curry', 'blake', 'jglm', 'ministries', 'changed', 'life', 'hope', 'able', 'change', 'well']",curry blake jglm ministries changed life hope able change well
manage hair loss,"['manage', 'hair', 'loss']",manage hair loss
sorry hear cancer type cancer battling,"['sorry', 'hear', 'cancer', 'type', 'cancer', 'battling']",sorry hear cancer type cancer battling
thank much sharing really brave,"['thank', 'much', 'sharing', 'really', 'brave']",thank much sharing really brave
35 radiations 5 chemos im done lost 40 pounds come back cancer behind win,"['35', 'radiations', 'chemos', 'im', 'done', 'lost', '40', 'pounds', 'come', 'back', 'cancer', 'behind', 'win']",35 radiations chemos im done lost 40 pounds come back cancer behind win
infusion nothing ordeal comes afterwards begin deal side effects chemo neuropathy nausea diarrhea acid reflux ad infinitum experience discomfort sensations acquired language describe exactly pain exactly pressure exactly nausea exactly know explain really symptoms caused disease cure,"['infusion', 'nothing', 'ordeal', 'comes', 'afterwards', 'begin', 'deal', 'side', 'effects', 'chemo', 'neuropathy', 'nausea', 'diarrhea', 'acid', 'reflux', 'ad', 'infinitum', 'experience', 'discomfort', 'sensations', 'acquired', 'language', 'describe', 'exactly', 'pain', 'exactly', 'pressure', 'exactly', 'nausea', 'exactly', 'know', 'explain', 'really', 'symptoms', 'caused', 'disease', 'cure']",infusion nothing ordeal comes afterwards begin deal side effects chemo neuropathy nausea diarrhea acid reflux ad infinitum experience discomfort sensations acquired language describe exactly pain exactly pressure exactly nausea exactly know explain really symptoms caused disease cure
way young thu need disclose causing cancers,"['way', 'young', 'thu', 'need', 'disclose', 'causing', 'cancers']",way young thu need disclose causing cancers
27 death rate chemotherapy google friend died heart attack cardio toxicity chemo,"['27', 'death', 'rate', 'chemotherapy', 'google', 'friend', 'died', 'heart', 'attack', 'cardio', 'toxicity', 'chemo']",27 death rate chemotherapy google friend died heart attack cardio toxicity chemo
pomegranate kills cancer cells kiwi fruit great garlic good fish oil great also,"['pomegranate', 'kills', 'cancer', 'cells', 'kiwi', 'fruit', 'great', 'garlic', 'good', 'fish', 'oil', 'great', 'also']",pomegranate kills cancer cells kiwi fruit great garlic good fish oil great also
start process never seen port thank sharing us,"['start', 'process', 'never', 'seen', 'port', 'thank', 'sharing', 'us']",start process never seen port thank sharing us
belive jesus medicine,"['belive', 'jesus', 'medicine']",belive jesus medicine
itzzz shee good,"['itzzz', 'shee', 'good']",itzzz shee good
ugh breast cancer would sacks cancer waiting happen cut altogether prophylactic measure scared surgery would get insurance cover claiming non binary trans identity disgustingly fat skinny body anyway,"['ugh', 'breast', 'cancer', 'would', 'sacks', 'cancer', 'waiting', 'happen', 'cut', 'altogether', 'prophylactic', 'measure', 'scared', 'surgery', 'would', 'get', 'insurance', 'cover', 'claiming', 'non', 'binary', 'trans', 'identity', 'disgustingly', 'fat', 'skinny', 'body', 'anyway']",ugh breast cancer would sacks cancer waiting happen cut altogether prophylactic measure scared surgery would get insurance cover claiming non binary trans identity disgustingly fat skinny body anyway
hospice industry years people live longer chemo unless cancer vital organ heart lungs brain chemo causes mets,"['hospice', 'industry', 'years', 'people', 'live', 'longer', 'chemo', 'unless', 'cancer', 'vital', 'organ', 'heart', 'lungs', 'brain', 'chemo', 'causes', 'mets']",hospice industry years people live longer chemo unless cancer vital organ heart lungs brain chemo causes mets
may recover fast,"['may', 'recover', 'fast']",may recover fast
stop cancer track stop eating sugar drink hot water fresh squeezed lemon juice month,"['stop', 'cancer', 'track', 'stop', 'eating', 'sugar', 'drink', 'hot', 'water', 'fresh', 'squeezed', 'lemon', 'juice', 'month']",stop cancer track stop eating sugar drink hot water fresh squeezed lemon juice month
eat apricot seeds cure cancer,"['eat', 'apricot', 'seeds', 'cure', 'cancer']",eat apricot seeds cure cancer
ela faleceu,"['ela', 'faleceu']",ela faleceu
may god bless cancer thank god bad never chemo radiation kind stuff may god bless brave person get lots love hope god get young world cruel like everything poison soil water even imagine really god bless 100 times,"['may', 'god', 'bless', 'cancer', 'thank', 'god', 'bad', 'never', 'chemo', 'radiation', 'kind', 'stuff', 'may', 'god', 'bless', 'brave', 'person', 'get', 'lots', 'love', 'hope', 'god', 'get', 'young', 'world', 'cruel', 'like', 'everything', 'poison', 'soil', 'water', 'even', 'imagine', 'really', 'god', 'bless', '100', 'times']",may god bless cancer thank god bad never chemo radiation kind stuff may god bless brave person get lots love hope god get young world cruel like everything poison soil water even imagine really god bless 100 times
went chemo radiation breast cancer supposed 4 infusions sick could 3 supposed 12 weeks chemo allergic drug also 20 radiation treatments,"['went', 'chemo', 'radiation', 'breast', 'cancer', 'supposed', 'infusions', 'sick', 'could', 'supposed', '12', 'weeks', 'chemo', 'allergic', 'drug', 'also', '20', 'radiation', 'treatments']",went chemo radiation breast cancer supposed infusions sick could supposed 12 weeks chemo allergic drug also 20 radiation treatments
ask jesus forgive sins heal,"['ask', 'jesus', 'forgive', 'sins', 'heal']",ask jesus forgive sins heal
praying healing first time channel god husband,"['praying', 'healing', 'first', 'time', 'channel', 'god', 'husband']",praying healing first time channel god husband
hope feeling good,"['hope', 'feeling', 'good']",hope feeling good
tesò ho fatto 6 flebo 35 trattamenti di radio tutto nel 2017 per 5 anni ormone terapia sono trascorsi ben 6 anni adesso ho nuovamente ciclo sto bene aver sofferto non si dimentica bisogna avere tanto coraggio fede sono sposata abbiamo una figlia di 16 anni viva vita,"['tesò', 'ho', 'fatto', 'flebo', '35', 'trattamenti', 'di', 'radio', 'tutto', 'nel', '2017', 'per', 'anni', 'ormone', 'terapia', 'sono', 'trascorsi', 'ben', 'anni', 'adesso', 'ho', 'nuovamente', 'ciclo', 'sto', 'bene', 'aver', 'sofferto', 'non', 'si', 'dimentica', 'bisogna', 'avere', 'tanto', 'coraggio', 'fede', 'sono', 'sposata', 'abbiamo', 'una', 'figlia', 'di', '16', 'anni', 'viva', 'vita']",tesò ho fatto flebo 35 trattamenti di radio tutto nel 2017 per anni ormone terapia sono trascorsi ben anni adesso ho nuovamente ciclo sto bene aver sofferto non si dimentica bisogna avere tanto coraggio fede sono sposata abbiamo una figlia di 16 anni viva vita
wife cancer port became expert feeding cleaning port botched gallbladder surgery took 14 years passed miss today passed video popped feed look like came back months hospitals times taking care feeding port pray husband wife passed 10 years ago woman ever love hospital visits time kind hard would gladly spend hospital visit matter long boring presence beautiful wife god bless,"['wife', 'cancer', 'port', 'became', 'expert', 'feeding', 'cleaning', 'port', 'botched', 'gallbladder', 'surgery', 'took', '14', 'years', 'passed', 'miss', 'today', 'passed', 'video', 'popped', 'feed', 'look', 'like', 'came', 'back', 'months', 'hospitals', 'times', 'taking', 'care', 'feeding', 'port', 'pray', 'husband', 'wife', 'passed', '10', 'years', 'ago', 'woman', 'ever', 'love', 'hospital', 'visits', 'time', 'kind', 'hard', 'would', 'gladly', 'spend', 'hospital', 'visit', 'matter', 'long', 'boring', 'presence', 'beautiful', 'wife', 'god', 'bless']",wife cancer port became expert feeding cleaning port botched gallbladder surgery took 14 years passed miss today passed video popped feed look like came back months hospitals times taking care feeding port pray husband wife passed 10 years ago woman ever love hospital visits time kind hard would gladly spend hospital visit matter long boring presence beautiful wife god bless
cancer devil disease cure,"['cancer', 'devil', 'disease', 'cure']",cancer devil disease cure
caraaaa stella,"['caraaaa', 'stella']",caraaaa stella
never someone accompany treatments would nice,"['never', 'someone', 'accompany', 'treatments', 'would', 'nice']",never someone accompany treatments would nice
update delia still praying,"['update', 'delia', 'still', 'praying']",update delia still praying
wonder much injection chemo costs sad imagine merica dam greedy healthcare system truly heart breaking,"['wonder', 'much', 'injection', 'chemo', 'costs', 'sad', 'imagine', 'merica', 'dam', 'greedy', 'healthcare', 'system', 'truly', 'heart', 'breaking']",wonder much injection chemo costs sad imagine merica dam greedy healthcare system truly heart breaking
love support young sarah mcwilliams,"['love', 'support', 'young', 'sarah', 'mcwilliams']",love support young sarah mcwilliams
thank much sharing story undergo chemo radiation hodgkin lymphoma seeing undergoing chemo session informative helps take away fear unknown hope well continue strong,"['thank', 'much', 'sharing', 'story', 'undergo', 'chemo', 'radiation', 'hodgkin', 'lymphoma', 'seeing', 'undergoing', 'chemo', 'session', 'informative', 'helps', 'take', 'away', 'fear', 'unknown', 'hope', 'well', 'continue', 'strong']",thank much sharing story undergo chemo radiation hodgkin lymphoma seeing undergoing chemo session informative helps take away fear unknown hope well continue strong
updates health hope shes well,"['updates', 'health', 'hope', 'shes', 'well']",updates health hope shes well
although survived chemo radiation almost 30 years ago 35 aged radiation induced cardiac problems well gonad failure really getting tired,"['although', 'survived', 'chemo', 'radiation', 'almost', '30', 'years', 'ago', '35', 'aged', 'radiation', 'induced', 'cardiac', 'problems', 'well', 'gonad', 'failure', 'really', 'getting', 'tired']",although survived chemo radiation almost 30 years ago 35 aged radiation induced cardiac problems well gonad failure really getting tired
critical moment try ask help allah alone,"['critical', 'moment', 'try', 'ask', 'help', 'allah', 'alone']",critical moment try ask help allah alone
life short test plss die none muslim everything leaving ya god allah never leaving ya love love prophets adem noah ibraham sulomon gautam krisna moses jesus muhammad 124 000 prophets messengers muslim,"['life', 'short', 'test', 'plss', 'die', 'none', 'muslim', 'everything', 'leaving', 'ya', 'god', 'allah', 'never', 'leaving', 'ya', 'love', 'love', 'prophets', 'adem', 'noah', 'ibraham', 'sulomon', 'gautam', 'krisna', 'moses', 'jesus', 'muhammad', '124', '000', 'prophets', 'messengers', 'muslim']",life short test plss die none muslim everything leaving ya god allah never leaving ya love love prophets adem noah ibraham sulomon gautam krisna moses jesus muhammad 124 000 prophets messengers muslim
medications stem cell transplant 8 years ago feel normal keep fighting,"['medications', 'stem', 'cell', 'transplant', 'years', 'ago', 'feel', 'normal', 'keep', 'fighting']",medications stem cell transplant years ago feel normal keep fighting
thank much sharing story means much people diagnosed scared unknown know easy fun strength gives everyone much hope,"['thank', 'much', 'sharing', 'story', 'means', 'much', 'people', 'diagnosed', 'scared', 'unknown', 'know', 'easy', 'fun', 'strength', 'gives', 'everyone', 'much', 'hope']",thank much sharing story means much people diagnosed scared unknown know easy fun strength gives everyone much hope
alot braver,"['alot', 'braver']",alot braver
beautiful getting chemo,"['beautiful', 'getting', 'chemo']",beautiful getting chemo
looks pretty disease,"['looks', 'pretty', 'disease']",looks pretty disease
brother diagnosed rare cancer last week 27years old fibrolamellar rare cancer kids youth adults exposed get understand whyyy brother healthy stage 4 advance familys life change second pray god every single day lord jesus pls lord help brother young doctors know nothing cancer anyone knows specialist rare cancer pls let know asking players brother david,"['brother', 'diagnosed', 'rare', 'cancer', 'last', 'week', '27years', 'old', 'fibrolamellar', 'rare', 'cancer', 'kids', 'youth', 'adults', 'exposed', 'get', 'understand', 'whyyy', 'brother', 'healthy', 'stage', 'advance', 'familys', 'life', 'change', 'second', 'pray', 'god', 'every', 'single', 'day', 'lord', 'jesus', 'pls', 'lord', 'help', 'brother', 'young', 'doctors', 'know', 'nothing', 'cancer', 'anyone', 'knows', 'specialist', 'rare', 'cancer', 'pls', 'let', 'know', 'asking', 'players', 'brother', 'david']",brother diagnosed rare cancer last week 27years old fibrolamellar rare cancer kids youth adults exposed get understand whyyy brother healthy stage advance familys life change second pray god every single day lord jesus pls lord help brother young doctors know nothing cancer anyone knows specialist rare cancer pls let know asking players brother david
get well soon saying prayer,"['get', 'well', 'soon', 'saying', 'prayer']",get well soon saying prayer
yesterday hospital exactly port exactly chemo,"['yesterday', 'hospital', 'exactly', 'port', 'exactly', 'chemo']",yesterday hospital exactly port exactly chemo
hi,['hi'],hi
tchandana,['tchandana'],tchandana
prayers sister,"['prayers', 'sister']",prayers sister
thank video get well soon,"['thank', 'video', 'get', 'well', 'soon']",thank video get well soon
gute besserung welchen krebs hatten sie,"['gute', 'besserung', 'welchen', 'krebs', 'hatten', 'sie']",gute besserung welchen krebs hatten sie
sister dead previous year breast cancer fully broke life,"['sister', 'dead', 'previous', 'year', 'breast', 'cancer', 'fully', 'broke', 'life']",sister dead previous year breast cancer fully broke life
https www youtube com watch toz41utt hk,"['https', 'www', 'youtube', 'com', 'watch', 'toz41utt', 'hk']",https www youtube com watch toz41utt hk
girlfriend suffering cancer,"['girlfriend', 'suffering', 'cancer']",girlfriend suffering cancer
god bless young pray fast recovery,"['god', 'bless', 'young', 'pray', 'fast', 'recovery']",god bless young pray fast recovery
may god heal,"['may', 'god', 'heal']",may god heal
unfortunately treatments personal alone experiences 90 plus percent treatments since 2014 strange wife actually,"['unfortunately', 'treatments', 'personal', 'alone', 'experiences', '90', 'plus', 'percent', 'treatments', 'since', '2014', 'strange', 'wife', 'actually']",unfortunately treatments personal alone experiences 90 plus percent treatments since 2014 strange wife actually
brave soul great aid kill cancer cells would cyanide molecule found apricot seed derivitives amygdala pills laetrile serum derived apricot seeds cyanide breaks free three molecule attached presence cancer cells otherwise four molecule group passes harmlessly body phillip bissell book alive well shows 300 patients successes excerpts found internet god bless,"['brave', 'soul', 'great', 'aid', 'kill', 'cancer', 'cells', 'would', 'cyanide', 'molecule', 'found', 'apricot', 'seed', 'derivitives', 'amygdala', 'pills', 'laetrile', 'serum', 'derived', 'apricot', 'seeds', 'cyanide', 'breaks', 'free', 'three', 'molecule', 'attached', 'presence', 'cancer', 'cells', 'otherwise', 'four', 'molecule', 'group', 'passes', 'harmlessly', 'body', 'phillip', 'bissell', 'book', 'alive', 'well', 'shows', '300', 'patients', 'successes', 'excerpts', 'found', 'internet', 'god', 'bless']",brave soul great aid kill cancer cells would cyanide molecule found apricot seed derivitives amygdala pills laetrile serum derived apricot seeds cyanide breaks free three molecule attached presence cancer cells otherwise four molecule group passes harmlessly body phillip bissell book alive well shows 300 patients successes excerpts found internet god bless
stay strong tough god bless,"['stay', 'strong', 'tough', 'god', 'bless']",stay strong tough god bless
steroid appetite die allergic reaction allergic reaction,"['steroid', 'appetite', 'die', 'allergic', 'reaction', 'allergic', 'reaction']",steroid appetite die allergic reaction allergic reaction
red devil doxyrubsin nasty customer strongest toxic around,"['red', 'devil', 'doxyrubsin', 'nasty', 'customer', 'strongest', 'toxic', 'around']",red devil doxyrubsin nasty customer strongest toxic around
diagnosed uterine cervical cancer power port put last week go 1st chemo treatment tomorrow june 30th lucky somebody family talk friends going alone mom would go lost als 2016 49 august 1st last chemo treatment august 11th ct scan tumor shrunk surgery hysterectomy another 3 rounds chemo 1 every 3 weeks 6 months total chemo idk stay positive scared crapless know expect suffer high anxiety already getting heartburn eating tums like candy pray fully recover thankfully mine caught early due pelvic exam ladies please forget could save life like mine going lose hair tho waist length bald birthday crap hey least grow back lucky survive,"['diagnosed', 'uterine', 'cervical', 'cancer', 'power', 'port', 'put', 'last', 'week', 'go', '1st', 'chemo', 'treatment', 'tomorrow', 'june', '30th', 'lucky', 'somebody', 'family', 'talk', 'friends', 'going', 'alone', 'mom', 'would', 'go', 'lost', 'als', '2016', '49', 'august', '1st', 'last', 'chemo', 'treatment', 'august', '11th', 'ct', 'scan', 'tumor', 'shrunk', 'surgery', 'hysterectomy', 'another', 'rounds', 'chemo', 'every', 'weeks', 'months', 'total', 'chemo', 'idk', 'stay', 'positive', 'scared', 'crapless', 'know', 'expect', 'suffer', 'high', 'anxiety', 'already', 'getting', 'heartburn', 'eating', 'tums', 'like', 'candy', 'pray', 'fully', 'recover', 'thankfully', 'mine', 'caught', 'early', 'due', 'pelvic', 'exam', 'ladies', 'please', 'forget', 'could', 'save', 'life', 'like', 'mine', 'going', 'lose', 'hair', 'tho', 'waist', 'length', 'bald', 'birthday', 'crap', 'hey', 'least', 'grow', 'back', 'lucky', 'survive']",diagnosed uterine cervical cancer power port put last week go 1st chemo treatment tomorrow june 30th lucky somebody family talk friends going alone mom would go lost als 2016 49 august 1st last chemo treatment august 11th ct scan tumor shrunk surgery hysterectomy another rounds chemo every weeks months total chemo idk stay positive scared crapless know expect suffer high anxiety already getting heartburn eating tums like candy pray fully recover thankfully mine caught early due pelvic exam ladies please forget could save life like mine going lose hair tho waist length bald birthday crap hey least grow back lucky survive
strong drug pray,"['strong', 'drug', 'pray']",strong drug pray
chemotherapy kill faster,"['chemotherapy', 'kill', 'faster']",chemotherapy kill faster
god bless beautiful lady,"['god', 'bless', 'beautiful', 'lady']",god bless beautiful lady
wonderful opportunity ask private room chemo stage 4 blood cancer immune system totally depleted 0 neutrophils granulocytes low leukocytes chemo treatments yet go chemo infusions texas oncology clinic one wears mask expected sit general waiting room crammed full people wear masks crammed smaller infusion room sitting elbow elbow people getting fluids iron infusions one wearing mask including oncology nurses rest staff totally mind boggling time feel unprotected unsafe go oncology clinic cancer treatments,"['wonderful', 'opportunity', 'ask', 'private', 'room', 'chemo', 'stage', 'blood', 'cancer', 'immune', 'system', 'totally', 'depleted', 'neutrophils', 'granulocytes', 'low', 'leukocytes', 'chemo', 'treatments', 'yet', 'go', 'chemo', 'infusions', 'texas', 'oncology', 'clinic', 'one', 'wears', 'mask', 'expected', 'sit', 'general', 'waiting', 'room', 'crammed', 'full', 'people', 'wear', 'masks', 'crammed', 'smaller', 'infusion', 'room', 'sitting', 'elbow', 'elbow', 'people', 'getting', 'fluids', 'iron', 'infusions', 'one', 'wearing', 'mask', 'including', 'oncology', 'nurses', 'rest', 'staff', 'totally', 'mind', 'boggling', 'time', 'feel', 'unprotected', 'unsafe', 'go', 'oncology', 'clinic', 'cancer', 'treatments']",wonderful opportunity ask private room chemo stage blood cancer immune system totally depleted neutrophils granulocytes low leukocytes chemo treatments yet go chemo infusions texas oncology clinic one wears mask expected sit general waiting room crammed full people wear masks crammed smaller infusion room sitting elbow elbow people getting fluids iron infusions one wearing mask including oncology nurses rest staff totally mind boggling time feel unprotected unsafe go oncology clinic cancer treatments
12 rounds extreme chemo last year year chemo help im targeted therapy infusion every 2 weeks till end,"['12', 'rounds', 'extreme', 'chemo', 'last', 'year', 'year', 'chemo', 'help', 'im', 'targeted', 'therapy', 'infusion', 'every', 'weeks', 'till', 'end']",12 rounds extreme chemo last year year chemo help im targeted therapy infusion every weeks till end
nikola tesla right https youtu mbl9ps6gmda,"['nikola', 'tesla', 'right', 'https', 'youtu', 'mbl9ps6gmda']",nikola tesla right https youtu mbl9ps6gmda
cancer,['cancer'],cancer
soo proud,"['soo', 'proud']",soo proud
feel pain,"['feel', 'pain']",feel pain
quick note yuck taste saline flush australia use pre drawn syringes saline often see american canadian videos draw saline ampoules seems plastic leech saline much asked heaps patients 1 said strange taste subtle theory pre drawn saline absorbs little bit stuff syringe plastic gives adult taste,"['quick', 'note', 'yuck', 'taste', 'saline', 'flush', 'australia', 'use', 'pre', 'drawn', 'syringes', 'saline', 'often', 'see', 'american', 'canadian', 'videos', 'draw', 'saline', 'ampoules', 'seems', 'plastic', 'leech', 'saline', 'much', 'asked', 'heaps', 'patients', 'said', 'strange', 'taste', 'subtle', 'theory', 'pre', 'drawn', 'saline', 'absorbs', 'little', 'bit', 'stuff', 'syringe', 'plastic', 'gives', 'adult', 'taste']",quick note yuck taste saline flush australia use pre drawn syringes saline often see american canadian videos draw saline ampoules seems plastic leech saline much asked heaps patients said strange taste subtle theory pre drawn saline absorbs little bit stuff syringe plastic gives adult taste
different process work australia essential parts sending lots love good energy rest journey,"['different', 'process', 'work', 'australia', 'essential', 'parts', 'sending', 'lots', 'love', 'good', 'energy', 'rest', 'journey']",different process work australia essential parts sending lots love good energy rest journey
right nothing nasty tasting chemical tasting saline taste never forget also fortunate ability request room infusions clinic chairs slammed close together elbow elbow top texas one believes wearing masks even oncology clinic immunocompromised cancer patients cancer patients guest required wear mask either,"['right', 'nothing', 'nasty', 'tasting', 'chemical', 'tasting', 'saline', 'taste', 'never', 'forget', 'also', 'fortunate', 'ability', 'request', 'room', 'infusions', 'clinic', 'chairs', 'slammed', 'close', 'together', 'elbow', 'elbow', 'top', 'texas', 'one', 'believes', 'wearing', 'masks', 'even', 'oncology', 'clinic', 'cancer', 'patients', 'cancer', 'patients', 'guest', 'required', 'wear', 'mask', 'either']",right nothing nasty tasting chemical tasting saline taste never forget also fortunate ability request room infusions clinic chairs slammed close together elbow elbow top texas one believes wearing masks even oncology clinic cancer patients cancer patients guest required wear mask either
god please help girl jesus name amen,"['god', 'please', 'help', 'girl', 'jesus', 'name', 'amen']",god please help girl jesus name amen
spero sei guarita,"['spero', 'sei', 'guarita']",spero sei guarita
wish could afford md anderson die wishing,"['wish', 'could', 'afford', 'md', 'anderson', 'die', 'wishing']",wish could afford md anderson die wishing
chemo toxic poison,"['chemo', 'toxic', 'poison']",chemo toxic poison
seek experience healing grace jesus hun,"['seek', 'experience', 'healing', 'grace', 'jesus', 'hun']",seek experience healing grace jesus hun
look laetrile mebendazole ivermectin heard lot people beating cancer medicines,"['look', 'laetrile', 'mebendazole', 'ivermectin', 'heard', 'lot', 'people', 'beating', 'cancer', 'medicines']",look laetrile mebendazole ivermectin heard lot people beating cancer medicines
hello health wish speedy recovery drug available states treatment cancer chemotherapy treatment chemotherapy heard immunotherapy treatments hospitals provide treatments also age play important factor,"['hello', 'health', 'wish', 'speedy', 'recovery', 'drug', 'available', 'states', 'treatment', 'cancer', 'chemotherapy', 'treatment', 'chemotherapy', 'heard', 'immunotherapy', 'treatments', 'hospitals', 'provide', 'treatments', 'also', 'age', 'play', 'important', 'factor']",hello health wish speedy recovery drug available states treatment cancer chemotherapy treatment chemotherapy heard immunotherapy treatments hospitals provide treatments also age play important factor
ur health wish speedy recovery,"['ur', 'health', 'wish', 'speedy', 'recovery']",ur health wish speedy recovery
fuk fuk fuk cancer,"['fuk', 'fuk', 'fuk', 'cancer']",fuk fuk fuk cancer
found cancer feeds sugar,"['found', 'cancer', 'feeds', 'sugar']",found cancer feeds sugar
found cancer um chemo going home jesus,"['found', 'cancer', 'um', 'chemo', 'going', 'home', 'jesus']",found cancer um chemo going home jesus
